year,name,college,position,height_in,weight_lbs,40yards,vert_leap_in,broad_jump_in,shuttle,3cone,hasstats,cmp,att,pct,yds,td,int,rate,heisman,bling,awards,allamerican,drafted
1999,mark garcia,Ohio State,QB,75.0,220,4.77,33.5,107.0,4.2,7.36,,21.0,49.0,42.9,364.0,2.0,1.0,114.6,0.0,0.0,0.0,0.0,N
2006,marcus vick,Virginia Tech,QB,72.0,200,4.51,36.0,117.0,4.08,6.94,,207.0,346.0,59.8,2868.0,19.0,15.0,138.9,0.0,0.0,0.0,0.0,N
2015,marcus mariota,Oregon,QB,75.75,222,4.52,36.0,121.0,4.11,6.87,,779.0,1167.0,66.8,10796.0,105.0,14.0,171.8,1.0,1.0,1.0,1.0,Y
1997,marcus crandell,East Carolina (NC),QB,71.4,204,4.78,30.0,105.0,4.67,8.25,,620.0,1133.0,54.7,7198.0,58.0,38.0,118.3,0.0,0.0,0.0,0.0,N
2000,marc bulger,West Virginia,QB,73.6,208,4.96,,100.0,4.34,7.46,,630.0,1023.0,61.6,8153.0,59.0,34.0,140.9,0.0,0.0,0.0,0.0,Y
2004,luke mccown,Louisiana Tech,QB,75.9,208,4.71,37.5,125.0,4.21,6.74,,1063.0,1775.0,59.9,12666.0,87.0,62.0,129.0,0.0,0.0,0.0,0.0,Y
2007,luke getsy,Akron,QB,74.5,222,4.99,32.5,106.0,4.46,6.95,,480.0,918.0,52.3,6149.0,41.0,23.0,118.3,0.0,0.0,0.0,0.0,N
2018,luke falk,Washington State,QB,76.0,215,,26.5,103.0,,,,1403.0,2054.0,68.3,14481.0,119.0,39.0,142.8,0.0,0.0,0.0,0.0,Y
2018,logan woodside,Toledo,QB,73.0,213,4.79,31.5,103.0,4.15,6.94,,759.0,1166.0,65.1,10514.0,93.0,25.0,162.9,0.0,1.0,1.0,0.0,Y
2014,logan thomas,Virginia Tech,QB,78.13,248,4.61,35.5,116.0,4.18,7.05,,693.0,1248.0,55.5,9003.0,52.0,39.0,123.6,0.0,0.0,0.0,0.0,Y
2010,levi brown,Troy (AL),QB,75.5,229,4.93,31.5,106.0,4.43,7.07,,522.0,830.0,62.9,6284.0,38.0,12.0,138.7,0.0,1.0,1.0,0.0,Y
2013,landry jones,Oklahoma,QB,76.13,225,5.11,31.0,115.0,4.3,7.12,,1388.0,2183.0,63.6,16646.0,123.0,52.0,141.5,0.0,0.0,1.0,0.0,Y
1997,lance funderburk,Valdosta State (GA),QB,76.4,227,5.23,27.0,97.0,,,,,,,,,,,0.0,0.0,0.0,0.0,N
2008,kyle wright,Miami (FL),QB,75.4,218,4.9,25.5,105.0,4.32,7.34,,478.0,807.0,59.2,5835.0,38.0,31.0,127.8,0.0,0.0,0.0,0.0,N
2005,kyle orton,Purdue,QB,76.0,233,5.11,26.5,,4.52,7.38,,786.0,1336.0,58.8,9337.0,63.0,28.0,128.9,0.0,0.0,0.0,0.0,Y
2018,kyle lauletta,Richmond (VA),QB,75.0,222,4.81,31.0,113.0,4.07,6.95,,,,,,,,,0.0,0.0,0.0,0.0,Y
2003,kyle boller,California,QB,75.0,234,4.65,35.5,117.0,3.99,7.19,,622.0,1301.0,47.8,7980.0,64.0,48.0,108.2,0.0,0.0,0.0,0.0,Y
2002,kurt kittner,Illinois,QB,74.3,211,4.86,27.0,97.0,4.5,7.34,,668.0,1229.0,54.4,8460.0,66.0,33.0,124.5,0.0,0.0,0.0,0.0,Y
2018,kurt benkert,Virginia,QB,75.0,218,4.95,31.0,112.0,4.33,7.15,,534.0,925.0,57.7,5817.0,46.0,21.0,122.4,0.0,0.0,0.0,0.0,N
1997,koy detmer,Colorado,QB,72.9,180,5.14,28.5,103.0,4.37,7.79,,350.0,594.0,58.9,5390.0,40.0,25.0,148.9,0.0,0.0,0.0,0.0,Y
