year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,hasawards,allamerican,drafted
2004,brandon chillar,UCLA,OLB,74.9,253,4.75,23,33,115,4.08,,0,0,Y
2004,cols colas,Virginia Tech,OLB,71.6,233,4.59,22,34.5,118,,,0,0,N
2004,marquis cooper,Washington,OLB,75.3,223,4.55,25,36.5,121,4.12,7.02,0,0,Y
2004,jorge cordova,Nevada,ILB,74,237,4.68,22,35.5,,4.17,7.28,0,0,Y
2004,rod davis,Southern Mississippi,ILB,74,239,4.71,,,114,4.02,7.2,1,0,Y
2004,ryan fowler,Duke,ILB,75.1,250,4.76,35,37.5,118,4.19,7.19,0,0,N
2004,keyaron fox,Georgia Tech,OLB,74.4,227,4.65,28,,,,,0,0,Y
2004,jonathan harrell,Northern Iowa,OLB,73.5,242,4.73,27,,,,,0,0,N
2004,bryan hickman,Kansas State,OLB,72.1,231,4.71,26,32.5,106,4,7.38,0,0,N
2004,tj hollowell,Nebraska,OLB,72.4,235,4.57,,33.5,117,4.09,7.14,0,0,N
2004,leon joe,Maryland,OLB,72.5,230,4.51,30,39,,,,0,0,Y
2004,landon johnson,Purdue,OLB,74,223,4.65,20,37.5,120,4.08,7.01,0,0,Y
2004,maurice jones,South Florida,OLB,72.8,249,4.72,26,35.5,118,4.21,7.16,0,0,N
2004,niko koutouvides,Purdue,ILB,74.5,244,4.73,,30.5,108,3.88,6.98,0,0,Y
2004,teddy lehman,Oklahoma,OLB,73.5,240,4.55,26,34.5,113,4.06,6.91,1,1,Y
2004,alex lewis,Wisconsin,OLB,71.8,227,4.72,25,34.5,121,4.28,7.06,0,0,Y
2004,caleb miller,Arkansas,ILB,75.3,224,4.71,23,34.5,120,3.93,6.85,0,0,Y
2004,derrick pope,Alabama,OLB,70.9,230,4.69,24,,106,,,0,0,Y
2004,kendyll pope,Florida State,OLB,73,226,4.71,,,118,4.26,,0,0,Y
2004,robert reynolds,Ohio State,ILB,75.5,251,4.79,18,32.5,116,3.94,7.17,0,0,Y
2004,greg richmond,Oklahoma State,OLB,73,233,4.7,17,,,,,0,0,N
2004,richard seigler,Oregon State,ILB,74.3,244,4.75,25,,,,,0,0,Y
2004,daryl smith,Georgia Tech,OLB,73.6,234,4.67,24,,,,,0,0,Y
2004,cody spencer,North Texas,ILB,74.5,242,4.67,27,34.5,116,4.08,6.94,0,0,Y
2004,billy strother,New Mexico,OLB,73,241,4.68,,33,112,4.21,7.42,0,0,N
2004,dontarrious thomas,Auburn,OLB,74.5,241,4.64,26,38.5,129,4,,0,0,Y
2004,deryck toles,Penn State,OLB,71.8,224,4.62,24,37,112,4.23,7.12,0,0,N
2004,daryl towns,Nevada,OLB,73,224,4.57,,37,112,4.25,7.15,0,0,N
2004,sean tufts,Colorado,OLB,76.1,242,4.66,21,34.5,118,3.94,6.94,0,0,Y
2004,courtney watson,Notre Dame,OLB,73.4,237,4.56,22,36.5,114,4.35,7.39,0,0,Y
2004,demorrio williams,Nebraska,OLB,72.8,232,4.54,16,37,125,4.11,7.02,0,0,Y
2005,jordan beck,Cal Poly,OLB,75,233,4.6,25,41,128,4.12,7.11,0,0,Y
2005,darryl blackstock,Virginia,OLB,74.6,247,4.72,25,39,126,4.29,7.05,0,0,Y
2005,michael boley,Southern Mississippi,OLB,74.8,236,4.62,,34,110,4.12,7.08,1,0,Y
2005,kevin burnett,Tennessee,OLB,74.9,239,4.61,20,36,119,,,0,0,Y
2005,jamar enzor,Cincinnati,OLB,72.5,243,4.83,21,,,,,0,0,N
2005,liam ezekiel,Northeastern (MA),ILB,72.1,249,4.83,36,34.5,117,4.12,7.27,0,0,N
2005,alfred fincher,Connecticut,ILB,74,238,4.68,25,31.5,112,4.48,7.7,0,0,Y
2005,johnathan goddard,Marshall (WV),OLB,72.3,238,4.7,27,35,107,4.14,7.48,0,0,N
2005,mike goolsby,Notre Dame,ILB,75,249,5,,29.5,112,4.36,7.31,0,0,N
2005,boomer grigsby,Illinois State,ILB,73,249,4.6,32,35.5,112,,7.1,0,0,Y
2005,tyjuan hagler,Cincinnati,OLB,71.6,236,4.61,35,35.5,114,4.07,7.21,0,0,Y
2005,marques harris,Southern Utah,OLB,73,231,4.76,22,40.5,117,4.07,7.19,0,0,N
2005,leroy hill,Clemson,ILB,73,229,4.7,25,34,116,4.1,7.23,1,0,Y
2005,derrick johnson,Texas,OLB,75.3,242,4.54,,37.5,120,3.87,7.2,1,1,Y
2005,marcus lawrence,South Carolina,ILB,74.1,243,4.65,19,34,120,4.32,7.16,0,0,N
