year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,hasbling,allamerican,hasawards,drafted
2001,justin kurpeikis,Penn State,DE,76,252,4.97,22,31.5,118,4.1,6.82,0,0,0,N
2001,damione lewis,Miami (FL),DT,74.8,293,4.9,22,,,,,0,0,0,Y
2001,deangelo lloyd,Tennessee,DE,77,264,4.88,15,,,,,0,0,0,N
2001,dwayne missouri,Northwestern,DE,77,258,5.03,21,38,116,4.4,7.5,0,0,0,Y
2001,mario monds,Cincinnati,DT,75.3,342,5.04,,28.5,99,4.73,8.06,0,0,0,Y
2001,saul patu,Oregon,DE,74.4,272,4.98,22,30.5,112,4.43,7.52,0,0,0,N
2001,devonte peterson,Catawba (NC),DE,74.8,275,5.02,31,,,,,0,0,0,N
2001,jamal reynolds,Florida State,DE,74.9,267,4.71,,,,,,1,1,1,Y
2001,karon riley,Minnesota,DE,74.4,264,4.76,,,,,,0,0,0,Y
2001,jace sayler,Michigan State,DT,77.1,294,5.07,29,31,105,4.59,7.81,0,0,0,N
2001,john schlecht,Minnesota,DT,72.3,295,4.93,27,31.5,101,4.3,7.45,0,0,0,N
2001,aaron schobel,Texas Christian,DE,75.6,263,4.75,,38,119,4.03,7.16,1,0,1,Y
2001,cedric scott,Southern Mississippi,DE,78.1,281,4.82,23,35.5,107,4.37,7.67,1,0,1,Y
2001,rickie simpkins,Syracuse,DT,74.6,287,5.25,,29.5,97,4.52,7.65,0,0,0,N
2001,justin smith,Missouri,DE,76.1,267,4.64,26,34,117,,,0,0,0,Y
2001,kenny smith,Alabama,DT,76,299,5.24,,30,100,4.8,8,0,0,0,Y
2001,daleroy stewart,Southern Mississippi,DT,75.5,309,4.86,,33,110,4.72,7.75,0,0,0,Y
2001,marcus stroud,Georgia,DT,78.1,321,5.13,21,30,110,4.72,8.07,0,0,0,Y
2001,joe tafoya,Arizona,DE,75.9,269,4.88,28,33,111,4.4,7.65,0,0,0,Y
2001,paul toviessi,Marshall (WV),DE,77.9,260,4.74,,33.5,120,4.32,7.06,0,0,0,Y
2001,kyle vanden bosch,Nebraska,DE,76.1,270,4.66,26,36.5,119,4.08,6.82,0,0,0,Y
2001,fred wakefield,Illinois,DE,79.1,287,5.07,26,29,108,4.64,7.49,0,0,0,N
2001,david warren,Florida State,DE,74.4,253,4.73,21,,,4.46,7.53,0,0,0,N
2001,shawn worthen,Texas Christian,DT,73,310,5.18,23,30,103,4.61,7.5,0,0,0,Y
2001,ellis wyms,Mississippi State,DE,75.1,285,4.97,21,28,103,4.47,7.71,0,0,0,Y
2002,clenton ballard,Texas State,DT,74.5,313,5.24,24,26.5,90,4.64,7.47,0,0,0,Y
2002,justin bannan,Colorado,DT,74.8,300,5.02,24,29,97,4.24,7.31,0,0,0,Y
