year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,isbuilt,drafted
2006,dawan landry,Georgia Tech,SS,72.88,220,4.69,18,37.5,124,4.27,,1,Y
2006,calvin lowry,Penn State,SS,71,200,4.58,15,36,120,4.2,7.16,0,Y
2006,vincent meeks,Texas Tech,SS,70.63,210,4.91,11,33,112,,,0,N
2006,jarrad page,UCLA,SS,72.38,239,4.64,,38,127,4.14,6.68,1,Y
2006,charlie peprah,Alabama,SS,70.88,206,4.7,15,37.5,119,4.09,6.81,0,Y
2006,bernard pollard,Purdue,SS,73.63,224,4.6,,36.5,131,,,1,Y
2006,nate salley,Ohio State,FS,73.75,216,4.64,14,40,123,4.15,6.79,1,Y
2006,ko simpson,South Carolina,FS,73,209,4.45,11,40.5,122,4.17,7.09,1,Y
2006,dwayne slay,Texas Tech,FS,75.5,216,4.83,,32.5,112,,,1,N
2006,anthony smith,Syracuse,FS,72.13,194,4.71,18,41,125,4.35,6.75,0,Y
2006,eric smith,Michigan State,SS,73,209,4.63,21,40,127,4.1,6.89,1,Y
2006,scott ware,Southern California,SS,73.13,218,4.72,15,37,115,4.25,7.05,1,N
2006,pat watkins,Florida State,FS,76.8,211,4.48,14,41,133,,,1,Y
2006,donte whitner,Ohio State,SS,70.1,204,4.44,18,40,132,,,0,Y
2007,gerald alexander,Boise State,FS,72.38,210,4.53,15,41,124,4.21,7.24,1,Y
2007,craig dahl,North Dakota State,SS,73.63,216,4.58,17,35,122,4.26,6.69,1,N
2007,jessie daniels,Louisiana State,SS,70.88,216,4.54,25,,,,,0,N
2007,eric frampton,Washington State,SS,71,204,4.65,10,34.5,122,4.17,6.84,0,Y
2007,cj gaddis,Clemson,FS,71.5,203,4.48,20,36.5,121,4.3,7.28,0,Y
2007,josh gattis,Wake Forest,FS,73,206,4.55,22,34.5,121,4.27,6.72,1,Y
2007,dashon goldson,Washington,FS,74,205,4.64,12,34.5,115,4.46,7.37,1,Y
2007,michael griffin,Texas,SS,71.75,202,4.48,16,36,120,4.1,6.6,0,Y
2007,tanard jackson,Syracuse,FS,72,200,4.53,12,32.5,121,4.28,6.89,1,Y
2007,michael johnson,Arizona,SS,74.63,205,4.66,15,33,114,4.32,7.04,1,Y
2007,laron landry,Louisiana State,FS,72.5,213,4.38,,37.5,123,,,1,Y
2007,brandon meriweather,Miami (FL),FS,70.63,195,4.5,11,35,111,4.33,7.06,0,Y
2007,chinedum ndukwe,Notre Dame,FS,73.75,206,4.5,15,37.5,,,,1,N
2007,jd nelson,Oregon,FS,71.38,207,4.86,,32.5,111,4.53,7.29,0,N
2007,reggie nelson,Florida,FS,71.38,198,4.51,,34.5,,,,0,Y
2007,chad nkang,Missouri,SS,71.5,220,4.52,23,36.5,118,4.34,7.1,0,Y
2007,marcus paschal,Iowa,FS,72.25,201,4.67,15,33,,4.72,7.31,1,N
2007,kevin payne,Louisiana-Monroe,FS,72.25,220,4.63,20,35,106,4.3,7,1,Y
2007,leonard peters,Hawaii,FS,73.13,210,4.81,21,32.5,110,,7.49,1,N
2007,sabby piscitelli,Oregon State,SS,74.75,224,4.5,19,34.5,122,3.9,6.84,1,Y
2007,aaron rouse,Virginia Tech,SS,76,223,4.6,16,35,,,,1,Y
2007,brandon sharp,Louisville,FS,70,194,4.62,18,37.5,,,,0,N
2007,daren stone,Maine,SS,75.25,218,4.6,13,39,132,4.44,7.13,1,Y
2007,eric weddle,Utah,SS,71.3,203,4.5,11,33.5,113,4.12,6.78,0,Y
2007,john wendling,Wyoming,FS,73.25,222,4.5,22,38.5,129,4.16,6.96,1,Y
2007,marvin white,Texas Christian,FS,73.3,199,4.56,17,33.5,,,,0,Y
2008,husain abdullah,Washington State,FS,71.88,204,4.69,16,32.5,115,,7.07,0,N
2008,jamar adams,Michigan,SS,74,212,4.63,,34,121,4.49,6.9,1,N
2008,dominique barber,Minnesota,FS,72.25,210,4.7,23,34,117,4.34,7.08,1,Y
2008,josh barrett,Arizona State,SS,73.75,223,4.36,17,31.5,121,4.27,7.07,1,N
2008,brian bonner,Texas Christian,SS,70.88,196,4.69,17,31,113,4.43,7.21,0,N
2008,caleb campbell,Army,SS,73.75,229,4.63,24,,,,,1,Y
2008,simeon castille,Alabama,FS,72.38,195,4.73,,31.5,119,4.36,7.07,0,N
2008,thomas decoud,California,FS,73.38,207,4.56,,35.5,122,4.27,6.85,1,Y
2008,quintin demps,Texas-El Paso,FS,71.88,206,4.41,16,31.5,110,,,0,Y
2008,marcus griffin,Texas,FS,70.25,201,4.81,13,31.5,119,4.32,7.09,0,N
2008,jonathan hefney,Tennessee,FS,67.88,190,4.55,14,29,117,4.44,7.1,0,N
2008,chris horton,UCLA,SS,72.13,212,4.6,14,28.5,109,4.35,7.34,1,N
2008,tyrell johnson,Arkansas State,SS,71.88,207,4.41,27,32,127,,,0,Y
2008,dennis keyes,UCLA,FS,72.63,205,4.69,15,30.5,112,4.41,7.25,1,N
2008,dajuan morgan,North Carolina State,FS,72.13,205,4.54,21,33,119,4.41,7.12,1,Y
2008,dj parker,Virginia Tech,FS,71.25,192,4.63,19,29,111,4.44,6.94,0,N
2008,kenny phillips,Miami (FL),FS,74.25,212,4.52,19,32.5,121,4.27,6.97,1,Y
2008,david roach,Texas Christian,FS,72.38,210,4.56,16,38,123,4.15,6.88,1,N
2008,jamie silva,Boston College,SS,70.75,204,4.87,,31.5,112,,,0,N
2008,nehemiah warrick,Michigan State,FS,72.9,211,4.58,16,29.5,119,4.09,6.98,1,N
2008,dj wolfe,Oklahoma,SS,71.13,207,4.66,,28,112,4.32,7.02,0,N
2008,tom zbikowski,Notre Dame,SS,71.3,211,4.54,24,,,,,0,Y
2009,david bruton,Notre Dame,FS,74,219,4.4,19,41.5,132,4.28,6.6,1,Y
2009,patrick chung,Oregon,SS,71.25,212,4.49,25,34,119,,,0,Y
2009,chris clemons,Clemson,FS,72.13,208,4.33,19,37.5,127,4.38,7.27,1,Y
2009,emanuel cook,South Carolina,SS,69.75,197,4.57,18,35,116,,,0,N
2009,louis delmas,Western Michigan,FS,71.38,202,4.52,12,37,126,4.17,6.67,0,Y
2009,courtney greene,Rutgers,SS,72.25,212,4.55,21,34.5,116,4.16,7.35,1,Y
2009,michael hamlin,Clemson,SS,74,214,4.57,17,37.5,117,4.42,7.14,1,Y
2009,lendy holmes,Oklahoma,FS,72,206,4.69,16,32,112,4.32,7.28,1,N
2009,rashad johnson,Alabama,FS,71.25,203,4.49,15,37,120,4.23,7.09,0,Y
2009,darcel mcbath,Texas Tech,FS,72.25,198,4.58,14,38,119,4.16,6.8,0,Y
2009,marcus mcclinton,Kentucky,FS,72.25,210,4.51,16,37,120,4.22,7.45,1,N
