name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone
"Sweet, William",North Carolina,OL,78,313,5.27,23,30.5,111,5,8.01
"Tate, Trevon",Memphis,OL,74,293,,22,,,,
"Taylor, Jawaan",Florida,OL,77,312,,24,,,,
"Udoh, Oli",,OL,77,,5.05,26,28.5,105,5.05,7.88
"Williams, Jonah",Alabama,OL,76,302,5.12,23,28,100,4.79,8.01
"Calhoun, Shaq",,OL,74,,5.07,26,28.5,105,4.62,7.46
"Bailey, Jake",Stanford,P,73,200,4.72,,33,117,,
"Fox, Jack",Rice,P,74,213,4.73,,27.5,114,,
"Wishnowsky, Mitch",Utah,P,74,218,4.63,,32.5,117,,
"Browning, Jake",Washington,QB,74,211,4.74,,29,112,4.44,7.19
"Finley, Ryan",NC State,QB,76,213,4.73,,30.5,116,4.2,7.2
"Fitzgerald, Nick",Miss. State,QB,77,226,4.64,,29.5,115,,
"Grier, Will",West Virginia,QB,74,217,4.84,,34,112,4.28,7.09
"Haskins, Dwayne",Ohio St.,QB,75,231,5.04,,28.5,,,
"Jackson, Tyree",Buffalo,QB,79,249,4.59,,34.5,120,4.28,7.09
"Jones, Daniel",Duke,QB,77,221,4.81,,33.5,120,4.41,7
"Lock, Drew",Missouri,QB,76,228,4.69,,31,112,4.12,7.03
"McSorley, Trace",Penn St.,QB,72,202,4.57,,33,115,4.12,7.09
"Minshew, Gardner",Washington St.,QB,73,225,4.97,,33.5,116,4.45,7.14
"Rypien, Brett",Boise St.,QB,74,210,4.91,,33,116,4.29,7.1
"Shurmur, Kyle",Vanderbilt,QB,76,230,4.91,,29.5,106,4.53,7.51
"Stick, Easton",North Dakota State,QB,73,224,4.62,,33.5,118,4.05,6.65
"Stidham, Jarrett",Auburn,QB,74,218,4.81,,31,110,4.33,7.28
"Ta'amu, Jordan",Ole Miss,QB,75,221,4.77,,27.5,109,4.36,7.06
"Anderson, Rodney",Oklahoma,RB,72,224,,25,,,,
"Armstead, Ryquell",Temple,RB,71,220,4.45,22,30,114,4.29,7.02
"Barnes, Alex",Kansas St.,RB,72,226,4.59,34,38.5,126,4.1,6.95
"Brossette, Nick",LSU,RB,71,209,4.72,15,35.5,118,4.44,7.38
"Gaskin, Myles",Washington,RB,69,205,4.58,24,35.5,118,4.27,7.19
"Harris, Damien",Alabama,RB,70,216,4.57,16,37,121,,
"Henderson, Darrell",Memphis,RB,68,208,4.49,22,33.5,121,,
"Higdon, Karan",Michigan,RB,69,206,4.49,21,34,123,,
"Hill, Justice",Oklahoma St.,RB,70,198,4.4,21,40,130,,
"Holyfield, Elijah",Georgia,RB,70,217,4.78,26,29.5,118,,
"Homer, Travis",Miami (Fla.),RB,70,201,4.48,17,39.5,130,4.31,7.07
"Love, Bryce",Stanford,RB,69,200,,18,,,,
"Mattison, Alexander",Boise St.,RB,71,221,4.67,22,35,127,4.29,7.13
"Montgomery, David",Iowa St.,RB,70,222,4.63,15,28.5,121,,
"Moore, Jalin",App. St.,RB,70,212,,27,,,,
"Ollison, Qadree",Pittsburgh,RB,73,228,4.58,19,29.5,114,4.31,7.53
"Pollard, Tony",Memphis,RB,72,210,4.52,13,35,121,,
"Sanders, Miles",Penn St.,RB,71,211,4.49,20,36,124,4.19,6.89
"Scarlett, Jordan",Florida,RB,71,208,4.47,21,30,116,4.63,7.37
"Scott, LJ",Michigan St.,RB,72,227,,21,33,120,4.34,7.27
"Singletary, Devin",FAU,RB,67,203,4.66,15,35,117,4.4,7.32
"Snell, Benny",Kentucky,RB,70,224,4.66,16,29.5,119,4.33,7.07
"Weber, Mike",Ohio St.,RB,70,211,4.47,22,33.5,,,
"Williams, Dexter",Notre Dame,RB,71,212,4.57,17,36,130,4.16,7
"Williams, Trayveon",Texas A&M,RB,68,206,4.51,19,33,121,4.44,7.44
"Williams, James",Washington St.,RB,69,197,4.58,,36.5,118,4.25,7.01
"Ingold, Alec",Wisconsin,RB,73,242,4.89,16,34,116,4.32,7.35
"Abram, Johnathan",Miss. State,S,71,215,4.45,,,116,,
"Amadi, Ugo",,S,69,,4.51,18,32.5,115,4.19,7.21
"Battle, John",LSU,S,72,201,4.67,,29.5,120,4.33,7.09
"Bell, Mike",Fresno St.,S,75,210,4.83,10,30,118,4.46,7.1
"Blair, Marquise",Utah,S,73,195,4.48,,35,125,,
"Crawford, Jonathan",Indiana,S,73,205,,16,31.5,115,,
"Denis, Lukas",Boston College,S,71,190,4.64,16,33.5,116,4.09,6.89
"Dixon, D'Cota",Wisconsin,S,70,204,4.81,20,33.5,119,,
"Gant, Malik",Marshall,S,72,209,4.63,17,34.5,114,4.3,7.45
"Gardner-Johnson, Chauncey",Florida,S,71,210,4.48,17,36,117,4.2,7.03
"Hampton, Saquan",Rutgers,S,73,206,4.48,14,,125,,
"Harris, Will",Boston College,S,73,207,4.41,20,36.5,123,4.12,6.91
"Hooker, Amani",Iowa,S,71,210,4.48,14,37,123,4.1,6.81
"Johnson, Jaquan",Miami (Fla.),S,70,191,4.69,18,33,121,,
"McLaurin, Mark",Miss. State,S,73,212,4.77,12,36,,4.46,
"Rapp, Taylor",Washington,S,72,208,,17,35,115,3.99,6.82
"Redwine, Sheldrick",Miami (Fla.),S,72,196,4.44,,39,130,4.14,
"Savage, Darnell",,S,71,,4.36,11,39.5,126,4.14,7.03
"Tell, Marvell",USC,S,74,198,,,42,136,4.01,6.63
"Thornhill, Juan",Virginia,S,72,205,4.42,21,44,141,,
"West, Darius",Kentucky,S,71,208,4.39,19,33.5,113,,
"Willis, Khari",Michigan St.,S,71,213,4.52,22,34.5,118,,
"Wilson, Donovan",Texas A&M,S,72,199,,18,36,127,,
"Wingard, Andrew",Wyoming,S,72,209,4.56,9,36.5,121,4.2,7.08
"Woods, Zedrick",Ole Miss,S,71,205,4.29,19,34.5,122,4.15,7
"Worthington, Evan",Colorado,S,74,212,4.63,17,33.5,121,4.37,7.07
"Blanton, Kendall",Missouri,TE,78,262,4.95,22,31,113,4.42,7.37
"Brown, Keenen",Texas St.,TE,74,250,4.75,17,33,117,4.51,7.27
"Fant, Noah",Iowa,TE,76,249,4.5,20,39.5,127,4.22,6.81
"Gentry, Zach",Michigan,TE,80,265,4.9,12,29.5,110,4.53,7.4
"Helm, Daniel",Duke,TE,76,249,4.89,14,,,,
"Hockenson, T.J.",Iowa,TE,77,251,4.7,17,37.5,123,4.18,7.02
"Knox, Dawson",Ole Miss,TE,76,254,,16,34.5,,4.27,7.12
"Mack, Alize",Notre Dame,TE,76,249,4.7,22,36,120,4.34,7.27
"Moreau, Foster",LSU,TE,76,253,4.66,22,36.5,121,4.11,7.16
"Nauta, Isaac",Georgia,TE,75,244,4.91,19,28,,4.43,7.45
"Oliver, Josh",San Jose St.,TE,77,249,4.63,22,34,117,4.47,7.21
"Raymond, Dax",Utah St.,TE,77,255,4.73,15,32,109,4.39,7.15
"Sample, Drew",Washington,TE,77,255,4.71,,33.5,115,4.31,7.15
"Smith, Kaden",Stanford,TE,77,255,4.92,15,32,108,4.47,7.08
"Smith, Irv",Alabama,TE,74,242,4.63,19,32.5,110,4.33,7.32
"Sternberger, Jace",Texas A&M,TE,76,251,4.75,17,31.5,113,4.31,7.19
"Sweeney, Tommy",Boston College,TE,76,251,4.83,17,,,,
"Warring, Kahale",San Diego St.,TE,77,252,4.67,19,36.5,122,4.25,7.21
"Wesco, Trevon",West Virginia,TE,75,267,4.89,24,31,117,4.38,7.18
"Wilson, Caleb",UCLA,TE,76,240,4.56,,29,113,4.4,7.2
"Boykin, Miles",Notre Dame,WR,76,220,4.42,12,43.5,140,4.07,6.77
"Brady, Tyre",Marshall,WR,75,211,,12,32,117,4.25,
"Brown, A.J.",Ole Miss,WR,72,226,4.49,19,36.5,120,,
"Butler, Emmanuel",Northern Arizona,WR,75,217,,11,36,115,4.22,
"Butler, Hakeem",Iowa St.,WR,77,227,4.48,18,36,128,,
"Campbell, Parris",Ohio St.,WR,72,205,4.31,11,40,135,4.03,
"Custis, Jamal",Syracuse,WR,76,214,4.5,,34.5,124,,
"Davis, Felton",Michigan St.,WR,75,211,,21,,,,
"Davis, Ryan",Auburn,WR,70,189,,12,35,124,4.23,7.09
"Dixon, Johnnie",Ohio St.,WR,70,201,4.41,16,37.5,120,4.43,
"Doss, Keelan",UC Davis,WR,74,211,,8,,,,
"Dulin, Ashton",Malone College,WR,73,215,4.43,13,38,121,4.22,7
"Durante, Jovon",FAU,WR,71,160,4.55,,31.5,120,4.31,7
"Ferguson, Jazz",Northwestern State,WR,77,227,4.45,8,37,123,4.59,7.25
"Fulgham, Travis",Old Dominion,WR,74,215,4.58,15,36.5,126,,
"Godwin, Terry",Georgia,WR,71,184,4.55,,36.5,117,,6.96
"Hall, Emanuel",Missouri,WR,74,201,4.39,15,43.5,141,,
"Hardman, Mecole",Georgia,WR,70,187,4.33,17,36.5,119,,
"Harmon, Kelvin",NC State,WR,74,221,4.6,18,32.5,117,4.32,7.15
"Harry, N'Keal",Arizona St.,WR,74,228,4.53,27,38.5,122,,
"Humphrey, Lil'Jordan",Texas,WR,76,210,4.75,13,33.5,119,4.29,7.09
"Hurd, Jalen",Baylor,WR,77,226,,23,,,,
"Isabella, Andy",Massachusetts,WR,69,188,4.31,15,36.5,121,4.15,6.95
"Jennings, Gary",West Virginia,WR,73,214,4.42,20,37,127,4.15,7.32
"Johnson, Diontae",Toledo,WR,70,183,4.53,15,33.5,123,4.45,7.09
"Johnson, KeeSean",Fresno St.,WR,73,201,4.6,14,30,117,4.23,7.28
"Johnson, Olabisi",Colorado St.,WR,72,204,4.51,14,38,124,4.16,6.88
"Johnson, Anthony",Buffalo,WR,74,209,,18,32.5,122,,7.12
"Lodge, DaMarkus",Ole Miss,WR,74,202,4.55,11,33.5,119,4.53,7.06
"McLaurin, Terry",Ohio St.,WR,72,208,4.35,18,37.5,125,4.15,7.01
"Metcalf, D.K.",Ole Miss,WR,75,228,4.33,27,40.5,134,4.5,7.38
"Meyers, Jakobi",NC State,WR,74,203,4.63,13,37,118,4.23,7.07
"Mitchell, Dillon",Oregon,WR,73,197,4.46,12,36.5,122,4.29,
"Morgan, Stanley",Nebraska,WR,72,202,4.53,14,38.5,125,4.13,6.78
"Murray, Nyqwan",Florida St.,WR,70,191,4.63,8,34,113,4.4,7.2
"Renfrow, Hunter",Clemson,WR,70,184,4.59,7,35,116,4.19,6.8
"Ridley, Riley",Georgia,WR,73,199,4.58,13,30.5,124,4.28,7.22
"Samuel, Deebo",South Carolina,WR,71,214,4.48,15,39,122,4.14,7.03
"Sills, David",West Virginia,WR,75,211,4.57,14,37.5,117,4.28,6.97
"Slayton, Darius",Auburn,WR,73,190,4.39,11,40.5,135,4.15,7
"Smith, Jaylen",Louisville,WR,74,219,4.47,14,34.5,122,4.48,7.55
"Thompson, Cody",Toledo,WR,73,205,4.57,19,38.5,119,4.03,6.87
"Way, Jamarius",South Alabama,WR,75,215,4.63,16,32.5,119,4.66,
"Wesley, Antoine",Texas Tech,WR,76,206,,6,37,117,4.26,7.07
"Wesley, Alex",Northern Colorado,WR,72,190,4.45,13,38.5,125,4.44,7.4
