player,college,position,height,weight
"Williams, Aeris",Miss. State,RB,6-0,207
"Seibert, Austin",Oklahoma,K,5-9,213
"Dalton, Jalen",North Carolina,DL,6-6,300
"Cole, A.J.",NC State,P,6-4,214
"Roseboro, Darian",NC State,DL,6-4,283
"Ballard, Corrion",Utah,S,6-3,200
"Clark, Khairi",Florida,DL,6-1,311
"Godsil, Dan",Indiana,LS,6-4,241
"Kinnel, Tyree",Michigan,S,5-11,210
"Walker, Michael",Boston College,WR,6-0,195
"Patrick, Jacques",Florida St.,RB,6-2,234
"Blunt, B.J.",McNeese State,LB,6-1,220
"Crawford, Xavier",C. Michigan,CB,5-11,187
"Williams, Darrell",Auburn,LB,6-2,240
"Johnson, Olabisi",Colorado St.,WR,6-0,204
"Wharton, Isaiah",Rutgers,CB,6-1,205
"Hager, Breckyn",Texas,EDGE,6-3,260
"Frazier, Jabril",Boise St.,EDGE,6-4,238
"Bailey, Zack",South Carolina,OL,6-5,299
"Greene, Donnell",Minnesota,OL,6-5,335
"Kempt, Kyle",Iowa St.,QB,6-5,224
"Lewis, Ira",Baylor,DL,6-3,290
"Corcoran, Josh",N. Illinois,EDGE,6-3,251
"Bushell-Beatty, Juwann",Michigan,OL,6-5,333
"Colburn, Matt",Wake Forest,RB,5-10,200
"Dimel, Winston",Kansas St.,FB,6-1,242
"Prince, Damian",Maryland,OL,6-4,317
"Johnson, Anthony",FIU,DL,6-3,291
"Rush, Anthony",UAB,DL,6-5,350
"Roberson, Derick",Sam Houston State,EDGE,6-3,249
"Patrick, Natrez",Georgia,LB,6-3,238
"Tate, Trevon",Memphis,OL,6-2,293
"Krepsz, Sean",Nevada,OL,6-4,330
"Clifton, Justin",Arkansas St.,S,6-0,213
"Bryant, Ventell",Temple,WR,6-2,200
"Alfieri, Joey",Stanford,LB,6-2,241
"Dulin, Ashton",Malone College,WR,6-1,215
"Ford, Andrew",Massachusetts,QB,6-3,210
"Phillips, Kyle",Tennessee,DL,6-3,263
"Hendrix, Dewayne",Pittsburgh,EDGE,6-4,265
"Butler, Emmanuel",Northern Arizona,WR,6-3,217
"Williams, Darius",CSU-Pueblo,CB,6-0,193
"Battle, John",LSU,S,6-0,201
"Turpin, KaVontae",TCU,WR,5-9,157
"Glenn, Cameron",Wake Forest,S,6-1,205
"Cotton, Lester",Alabama,OL,6-4,335
"Thome, Parker",Vanderbilt,P,6-4,215
"Booker, Dante",Ohio St.,LB,6-2,240
"Al-Shaair, Azeez",FAU,LB,6-1,234
"Smith, Jeff",Boston College,WR,6-1,195
"Hall, Darrin",Pittsburgh,RB,5-11,225
"Natour, Nick",SMU,OL,6-5,295
"Aniebonam, Jesse",Maryland,EDGE,6-3,260
"Newsome, Tyler",Notre Dame,P,6-3,213
"Thomas, Cory",Miss. State,DL,6-5,310
"Horsted, Jesper",Princeton,WR,6-4,215
"Young, Jalen",FAU,S,5-11,185
"Rosier, Malik",Miami (Fla.),QB,6-1,216
"Falcinelli, Justin",Clemson,OL,6-4,305
"Browning, Jake",Washington,QB,6-2,211
"Jegede, Iseoluwapo",Valdosta State,DL,6-6,277
"Hrynkiewicz, Vitas",Youngstown State,OL,6-4,300
"Aston, George",Pittsburgh,FB,6-0,240
"Nixon, Keisean",South Carolina,CB,5-10,193
"Dolegala, Jacob",Central Connecticut State,QB,6-6,235
"Hall, A.T.",Stanford,OL,6-5,299
"Yoon, Justin",Notre Dame,K,5-10,190
"Fatony, Corey",Missouri,P,5-11,205
"Wilson, Stone",FIU,P,5-10,180
"Baker, Kendall",Georgia,OL,6-6,305
"McGhin, Garrett",East Carolina,OL,6-5,327
"McMillian, Travon",Colorado,RB,5-11,210
"Gardner, James",Miami (Ohio),WR,6-4,217
"Sinor, Zach",Oklahoma St.,P,5-10,225
"Smith, Rodney",Minnesota,RB,5-11,210
"Parker, Logan",Southern Utah,TE,6-4,251
"Douglas, Deondre",Troy,WR,6-1,202
"Miles, Joshua",Morgan State,OL,6-5,314
"Wright, Charles",Vanderbilt,LB,6-3,240
"Moore, Nick",Georgia,LS,6-2,248
"Hester, Kiy",Rutgers,S,6-0,208
"Christion, Taryn",South Dakota State,QB,6-1,228
"Kinney, Billy",West Virginia,P,6-4,221
"McKinney, Prentice",Oklahoma,S,6-1,181
"Calhoun, Deion",Miss. State,OL,6-2,310
"Scott, Nick",Penn St.,S,5-11,202
"Reynolds, Mook",Virginia Tech,S,6-0,185
"Blough, David",Purdue,QB,6-0,205
"Peavy, Brian",Iowa St.,CB,5-9,194
"Holcomb, Cole",North Carolina,LB,6-1,225
"Kelly, Derrick",Florida St.,OL,6-5,320
"Westry, Chris",Kentucky,CB,6-4,197
"Greenidge, Ethan",Villanova,OL,6-4,327
"Sapp, Quart'e",Tennessee,LB,6-1,222
"Orr, Kareem",Chattanooga,CB,5-11,195
"Carpenter, Emmit",Minnesota,K,6-0,200
"Hansen, Justice",Arkansas St.,QB,6-4,224
"Ruble, Brock",Florida St.,OL,6-8,325
"Petite, Tyler",USC,TE,6-4,250
"Weyler, Jared",Minnesota,OL,6-4,300
"Sokol, Matt",Michigan St.,TE,6-5,250
"Deal, Taiwan",Wisconsin,RB,6-1,221
"Brumfield, Garrett",LSU,OL,6-2,299
"Smith, Sean",Dayton,P,6-4,228
"McLaughlin, Chase",Illinois,K,6-1,190
"Beck, Andrew",Texas,TE,6-4,260
"Bookser, Alex",Pittsburgh,OL,6-5,310
"Oliver, Brody",Colorado Mines,WR,6-3,208
"Davis, Garrett",Houston,S,6-2,210
"Cornelius, Taylor",Oklahoma St.,QB,6-6,232
"Strachan, Connor",Boston College,LB,6-0,230
"Crump, Koron",Arizona St.,LB,6-3,215
"Wilkins, Kevin",Rutgers,DL,6-2,306
"Mangum, Tanner",BYU,QB,6-3,205
"Meier, Carson",Oklahoma,TE,6-5,250
"Dungey, Eric",Syracuse,QB,6-4,228
"Ware, Aca'Cedric",USC,RB,6-0,205
"Harris, Deonte",Assumption,WR,5-6,173
"Mayes, Brad",Lehigh,QB,6-2,220
"Jones, Charles",Tulane,TE,6-4,255
"Coutts, Steven",California,P,6-4,220
"Saunders, Mavin",Florida St.,TE,6-5,256
"Dillon, Kano",Oregon,TE,6-5,256
"Harris, Tim",Virginia,CB,6-2,205
"Guyton, Jalen",North Texas,WR,6-1,208
"Snelson, Dredrick",UCF,WR,6-0,206
"Gilbert, Mark",Duke,CB,6-1,175
"Render, Keegan",Iowa,OL,6-4,307
"Zaccheaus, Olamide",Virginia,WR,5-8,193
"Davis, Titus",UCF,EDGE,6-3,250
"Evans, Datryan",Friends,TE,6-5,239
"Holloman, Joshuwa",E. Michigan,RB,5-10,200
"Simpson, Cortrelle",Richmond,WR,5-11,185
"Sumpter, Justin",Kennesaw State,WR,6-1,221
"Bingham, Ronheen",Arkansas St.,EDGE,6-2,242
"Brock, Trey",Hillsdale,WR,6-2,214
"Washington, Jerome",Rutgers,TE,6-4,243
"Roberts, Greg",Baylor,DL,6-5,264
"Allegretti, Nick",Illinois,OL,6-4,310
"Searight, Isaiah",Fordham,TE,6-4,245
"Vahe, Patrick",Texas,OL,6-2,321
"Calhoun, Shaq",Mississippi St.,G,6-2,310
