year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,wonaward,outland,drafted
1999,aaron dalan,Washington,OT,80,328,5.24,23,23.5,99,4.61,8.03,0,0,N
1999,eric de groh,West Virginia,C,76,324,5.53,23,28,102,4.56,7.79,0,0,N
1999,dan dercher,Kansas,OT,77.6,293,5.26,14,28,108,4.49,7.78,0,0,N
1999,derrick fletcher,Baylor,OT,78.3,374,5.14,27,,,,,0,0,Y
1999,lennie friedman,Duke,OG,75.1,301,5.36,25,29,96,4.51,8.04,0,0,Y
1999,todd frohbieter,Arkansas State,OT,78,323,5.28,20,27,100,4.51,7.98,0,0,N
1999,jason gamble,Clemson,C,74,302,5.18,24,28.5,105,4.54,7.84,0,0,N
1999,kelvin garmon,Baylor,OG,74.4,329,5.09,23,25,96,4.66,7.84,0,0,Y
1999,justin glasgow,Kansas,OG,77,328,5.35,35,24,95,4.59,7.98,0,0,N
1999,cornell green,Central Florida,OT,78.6,325,5.56,18,23,91,4.8,8.43,0,0,N
1999,tyrone hopson,Eastern Kentucky,OG,75,319,5.21,20,26,102,4.62,7.86,0,0,Y
1999,corey hulsey,Clemson,OG,76.9,367,5.72,31,25,95,4.89,8.21,0,0,N
1999,jay humphrey,Texas,OT,78.4,322,5.38,28,31,100,4.62,7.78,0,0,Y
1999,robert hunt,Virginia,OG,75,291,5.17,23,24,94,4.66,7.93,0,0,Y
1999,jon jansen,Michigan,OT,78.4,305,5.3,22,27,100,4.61,7.62,0,0,Y
1999,willie jones,Grambling State (LA),OT,79,372,5.58,30,26,102,4.78,8.01,0,0,N
1999,scott kiernan,Syracuse,OG,75,307,5.58,,28,94,4.79,8.09,0,0,N
1999,eric king,Richmond (VA),OG,76.6,290,5.06,25,27,104,4.36,7.46,0,0,Y
1999,josh kobdish,Frenso State (CA),OT,78.1,301,5.43,21,24,98,4.83,7.98,0,0,N
1999,dan lauta,Buffalo,OT,76,301,5.15,26,26,101,4.54,7.79,0,0,N
1999,david loverne,San Jose State,OG,74.8,292,5.19,23,25,96,4.43,7.49,0,0,Y
1999,todd mcclure,Louisiana State,C,73.4,298,5.25,29,28,93,4.51,7.81,0,0,Y
1999,jason mills,Tulsa (OK),OG,77.1,315,5.43,30,24,104,4.64,7.87,0,0,N
1999,ulysses moore,Liberty (VA),OG,74,313,5.45,24,26,103,4.67,7.98,0,0,N
1999,jeremy morgan,Southern Methodist (TX),OG,76,296,5.29,,23.5,92,4.62,7.77,0,0,N
1999,edwin mulitalo,Arizona,OT,75.1,328,5.47,28,23.5,92,4.77,8.02,0,0,Y
1999,jamar nesbit,South Carolina,C,76.3,336,5.7,23,26.5,86,4.91,8,0,0,N
1999,mike newell,Colorado State,C,76,292,5.25,25,28.5,104,4.69,7.88,0,0,N
1999,ben nichols,Colorado,OG,77.1,307,5.24,29,30,99,4.67,8.22,0,0,N
1999,rick nord,Louisville,OG,78,306,5.3,21,25.5,98,4.73,8.01,0,0,N
1999,jeremy offutt,Oklahoma State,C,77,310,5.17,20,26,100,4.77,7.98,0,0,N
1999,solomon page,West Virginia,OT,76.4,306,5.23,24,31.5,104,,,0,0,Y
1999,luke petitgout,Notre Dame,OT,77.9,315,5.23,33,29,100,4.48,7.53,0,0,Y
1999,zach piller,Florida,OT,76.5,331,5.19,40,26.5,100,4.68,8.12,0,0,Y
1999,brian pukenas,West Virginia,OG,75.5,303,5.37,25,26.5,93,4.73,8.09,0,0,N
1999,ian rafferty,North Carolina State,OT,76.5,296,5.51,25,23.5,93,4.86,7.94,0,0,N
1999,jarvis reado,Tennessee,OT,77,328,5.4,,26,100,,,0,0,N
1999,cleve roberts,Troy (AL),OT,78,290,5.37,16,23.5,94,4.86,8.34,0,0,N
1999,derek rose,Iowa,C,75,283,5.22,21,25.5,96,4.9,8.24,0,0,N
1999,marek rubin,Yale,OT,78,310,5.36,26,25,96,4.76,8.19,0,0,N
1999,grey ruegamer,Arizona State,C,76.4,315,5.36,18,27.5,94,4.68,8.22,0,0,Y
1999,tom schau,Illinois,C,77,302,5.33,24,28,109,4.53,7.5,0,0,N
