year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,defint,defyds,defavg,deftds,hasbling,allamerican,hasawards,drafted
2003,brian mance,Clemson,CB,70.4,189,4.61,18,32.5,115,,,11,73,6.6,0,0,0,0,N
2003,ricky manning,UCLA,CB,68.6,185,4.55,12,36.5,117,4.12,7.09,13,245,18.8,1,0,0,0,Y
2003,terrence mcgee,Northwestern State (LA),CB,69.6,201,4.55,15,37,126,4.07,6.87,,,,,0,0,0,Y
2003,terence newman,Kansas State,CB,70.4,189,4.41,10,41,136,3.82,6.88,10,33,3.3,0,1,1,1,Y
2003,terrell roberts,Oregon State,CB,69.1,203,4.74,18,34,117,4.19,7.12,5,8,1.6,0,0,0,0,N
2003,asante samuel,Central Florida,CB,70.9,185,4.52,9,35.5,120,4.09,6.94,8,71,8.9,0,0,0,0,Y
2003,donald strickland,Colorado,CB,70,187,4.48,16,35.5,121,4.01,6.97,4,220,55,4,0,0,0,Y
2003,charles tillman,Louisiana-Lafayette,CB,73,207,4.49,12,40,131,3.89,7.05,12,36,3,0,0,0,0,Y
2003,marcus trufant,Washington State,CB,71.1,199,4.43,11,39,127,4.3,6.85,11,139,12.6,0,0,0,0,Y
2003,bj tucker,Wisconsin,CB,70.5,188,4.38,16,35,123,4.14,7.25,5,67,13.4,1,0,0,0,Y
2003,shane walton,Notre Dame,CB,70.6,184,4.67,11,31,109,4.2,7.03,11,181,16.5,3,1,1,1,Y
2003,dennis weathersby,Oregon State,CB,72.6,204,4.39,9,38,125,4.08,7.13,5,76,15.2,0,0,0,0,Y
2003,eugene wilson,Illinois,CB,70.4,192,4.46,15,38,122,4,7.18,11,51,4.6,0,0,0,0,Y
2003,andre woolfolk,Oklahoma,CB,73.4,197,4.47,10,35.5,128,3.95,6.76,3,39,13,0,0,0,0,Y
2004,roc alexander,Washington,CB,71,185,4.37,,39.5,125,4.23,6.97,4,1,0.3,0,0,0,0,N
2004,marcell allmond,Southern California,CB,72,209,4.63,21,38,123,4.34,7.37,4,0,0,0,0,0,0,N
2004,rufus brown,Florida State,CB,69.3,187,4.45,15,33,124,4.44,7.24,4,61,15.3,1,0,0,0,N
2004,ahmad carroll,Arkansas,CB,69.6,195,4.36,15,41,128,,,4,43,10.8,0,0,0,0,Y
2004,ricardo colclough,Tusculum (TN),CB,70.6,194,4.5,8,39.5,127,,,,,,,0,0,0,Y
2004,curtis deloatch,North Carolina A&T,CB,74.4,214,4.52,10,35.5,120,4.42,6.97,,,,,0,0,0,N
2004,vontez duff,Notre Dame,CB,70.6,203,4.55,13,35,120,4.03,6.94,7,129,18.4,1,0,0,0,Y
2004,rich gardner,Penn State,CB,70.6,199,4.49,11,36.5,123,3.91,6.91,3,108,36,2,0,0,0,Y
2004,jabari greer,Tennessee,CB,70.1,178,4.51,7,36.5,126,,,2,26,13,0,0,0,0,N
2004,deangelo hall,Virginia Tech,CB,70,202,4.36,,,,,,8,161,20.1,1,0,0,0,Y
2004,von hutchins,Mississippi,CB,69.6,185,4.5,11,34.5,115,4.06,7.05,11,51,4.6,0,0,0,0,Y
2004,randy jordan,Kansas State,CB,72.8,178,4.61,,33.5,115,4.21,7.34,6,18,3,0,0,0,0,N
2004,jeremy lesueur,Michigan,CB,72,197,4.55,,35,116,,,4,87,21.8,1,0,0,0,Y
2004,will poole,Southern California,CB,70.4,194,4.47,16,,,,,7,70,10,1,0,0,0,Y
2004,keiwan ratliff,Florida,CB,70.1,194,4.58,11,,,,,12,260,21.7,3,1,1,1,Y
2004,lawrence richardson,Arkansas,CB,69.3,194,4.63,8,31,112,,,4,25,6.3,0,0,0,0,N
2004,dunta robinson,South Carolina,CB,70.6,186,4.35,15,36,120,3.75,6.97,5,92,18.4,1,0,0,0,Y
2004,keith smith,McNeese State (LA),CB,71.5,201,4.49,12,36.5,116,,,,,,,0,0,0,Y
2004,joey thomas,Montana State,CB,72.9,195,4.46,17,38.5,122,3.88,6.82,0,0,,0,0,0,0,Y
2004,chris thompson,Nicholls State (LA),CB,72,189,4.5,12,35,117,4.14,7.09,,,,,0,0,0,Y
2004,bruce thornton,Georgia,CB,71,197,4.5,,37.5,122,,,4,75,18.8,1,0,0,0,Y
2004,michael waddell,North Carolina,CB,70.9,187,4.33,14,37.5,121,4.03,6.84,3,49,16.3,0,0,0,0,Y
2004,dexter wynn,Colorado State,CB,69.3,175,4.49,13,39,123,3.9,6.7,4,62,15.5,0,0,0,0,Y
2005,ronald bartell,Howard (DC),CB,73.3,211,4.42,21,35.5,,,,,,,,0,0,0,Y
2005,brandon browner,Oregon State,CB,75.5,221,4.67,13,36.5,120,4.24,7.2,6,74,12.3,1,0,0,0,N
2005,nick collins,Bethune-Cookman (FL),CB,71.1,206,4.42,11,40,113,4.16,6.94,,,,,0,0,0,Y
2005,markus curry,Michigan,CB,70.9,181,4.62,12,35,113,3.89,7.04,7,51,7.3,0,0,0,0,N
2005,travis daniels,Louisiana State,CB,72.6,194,4.59,,35,117,3.97,6.95,2,49,24.5,2,0,0,0,Y
2005,abraham elimimian,Hawaii,CB,69.6,190,4.68,14,39,118,4.05,,11,47,4.3,0,0,0,0,N
2005,domonique foxworth,Maryland,CB,71.1,184,4.39,14,41,125,3.89,6.78,8,128,16,1,0,0,0,Y
2005,eric green,Virginia Tech,CB,71.4,198,4.56,,38,120,3.9,,8,264,33,2,0,0,0,Y
2005,kelvin hayden,Illinois,CB,70.4,197,4.52,17,34,111,3.9,6.87,4,84,21,1,0,0,0,Y
2005,ellis hobbs,Iowa State,CB,69,192,4.49,12,42,121,4.07,6.8,9,121,13.4,1,0,0,0,Y
2005,alphonso hodge,Miami (OH),CB,70.8,203,4.47,20,34,,3.99,,,,,,0,0,0,Y
2005,daven holly,Cincinnati,CB,70.4,192,4.44,15,39,113,4.08,7.16,9,58,6.4,1,0,0,0,Y
2005,marlin jackson,Michigan,CB,73,198,4.52,23,36,125,3.96,6.95,9,77,8.6,1,1,1,1,Y
2005,derrick johnson,Texas,CB,75.3,242,4.54,18,37.5,120,3.87,7.2,9,195,21.7,1,1,1,1,Y
2005,eric king,Wake Forest,CB,68.5,189,4.49,12,,,,,7,143,20.4,1,0,0,0,Y
2005,bryant mcfadden,Florida State,CB,71.8,193,4.53,23,38.5,126,4.04,,4,8,2,0,0,0,0,Y
2005,chris mckenzie,Arizona State,CB,68.5,185,4.37,6,45,133,4.32,6.9,3,23,7.7,0,0,0,0,N
2005,justin miller,Clemson,CB,69.8,201,4.46,15,41.5,126,,,13,94,7.2,0,0,0,0,Y
2005,karl paymah,Washington State,CB,72,204,4.38,15,41.5,121,3.91,7.09,3,5,1.7,0,0,0,0,Y
2005,antonio perkins,Oklahoma,CB,70.8,190,4.53,10,40,126,4.07,7.17,11,150,13.6,0,1,1,1,Y
2005,lamont reid,North Carolina State,CB,71.3,195,4.59,15,40.5,120,4.28,7.18,2,29,14.5,0,0,0,0,N
2005,carlos rogers,Auburn,CB,72.4,196,4.45,15,40.5,126,3.82,6.48,7,101,14.4,1,1,1,1,Y
2005,antrel rolle,Miami (FL),CB,72.1,201,4.5,15,,,,,5,73,14.6,1,1,1,1,Y
2005,stanford routt,Houston,CB,73.4,193,4.33,,36.5,127,3.9,6.63,7,96,13.7,0,0,0,0,Y
2005,scott starks,Wisconsin,CB,68.5,172,4.42,13,43,133,3.9,6.99,7,105,15,0,0,0,0,Y
2005,fabian washington,Nebraska,CB,70.5,188,4.31,18,41.5,122,3.91,,11,72,6.5,1,0,0,0,Y
2005,corey webster,Louisiana State,CB,72.1,199,4.51,9,,,,,16,181,11.3,1,0,0,0,Y
2005,aric williams,Oregon State,CB,73,187,4.58,8,36,117,,,9,67,7.4,0,0,0,0,N
2005,cedrick williams,Kansas State,CB,69.8,168,4.55,13,35,121,4.22,7.24,5,-2,-0.4,0,0,0,0,N
2005,darrent williams,Oklahoma State,CB,69,176,4.3,16,39,124,3.96,6.97,11,282,25.6,5,0,0,0,Y
2005,stanley wilson,Stanford,CB,71.8,185,4.39,14,39.5,123,,,5,103,20.6,0,0,0,0,Y
2005,jerron wishom,Louisiana Tech,CB,71.8,193,4.53,18,38,118,4.07,6.81,3,56,18.7,1,0,0,0,N
2006,will blackmon,Boston College,CB,72.25,198,4.49,,41,133,4.23,6.67,8,59,7.4,0,0,0,0,Y
2006,antonio cromartie,Florida State,CB,74.13,208,4.5,18,38,132,,,5,111,22.2,2,0,0,0,Y
2006,charles gordon,Kansas,CB,70.13,183,4.64,12,35.5,115,4.2,6.95,9,52,5.8,0,0,0,0,N
2006,chris hawkins,Marshall (WV),CB,70.13,183,4.53,16,37,116,4.18,,0,0,,0,0,0,0,N
2006,tye hill,Clemson,CB,69.63,185,4.34,,41,129,4.01,6.63,5,33,6.6,0,1,1,1,Y
