year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
1999,darran hall,Colorado State,WR,68.5,168,4.45,,34,114,4.33,7.25,Y
2005,roscoe parrish,Miami (FL),WR,69.75,168,4.4,,,,,,Y
2008,desean jackson,California,WR,69.75,169,4.4,,,120,,,Y
2000,troy walters,Stanford,WR,66.5,171,4.55,,32.5,106,3.84,6.61,Y
1997,kevin lockett,Kansas State,WR,71.9,171,4.57,,36.5,121,3.93,6.88,Y
2010,dexter mccluster,Mississippi,WR,68.75,172,4.53,20,37.5,118,4.06,,Y
2012,travis benjamin,Miami (FL),WR,69.88,172,4.31,14,38,119,,,Y
2013,ace sanders,South Carolina,WR,67,173,4.58,7,32,117,4.37,6.81,Y
2014,dri archer,Kent State (OH),WR,67.75,173,4.26,20,38,122,4.06,6.86,Y
2006,jeremy bloom,Colorado,WR,69,173,4.52,,,,,,Y
2000,sherrod gideon,Southern Mississippi,WR,71.1,173,4.69,,,,,,Y
2013,tavon austin,West Virginia,WR,68.5,174,4.34,14,32,120,4.01,,Y
2007,yamon figurs,Kansas State,WR,71.25,174,4.34,,,123,4.21,6.85,Y
2011,titus young,Boise State,WR,71.38,174,4.43,,,123,,,Y
1997,dedric ward,Northern Iowa,WR,68.6,175,4.56,,31,109,4.14,7.1,Y
2000,dennis northcutt,Arizona,WR,70.4,175,4.46,,37.5,123,4.04,6.96,Y
2014,paul richardson,Colorado,WR,72.38,175,4.4,,38,123,,7.09,Y
2008,harry douglas,Louisville,WR,71.25,176,4.57,,31,120,4.12,6.57,Y
