year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
2000,marcus washington,Auburn,OLB,75.3,252,4.7,,35.0,118.0,4.49,6.91,Y
2000,antonio wilson,Texas A&M-Commerce,OLB,74.0,245,4.56,11.0,,,,,Y
2001,keith adams,Clemson,OLB,70.6,219,4.81,24.0,,104.0,,,Y
2001,brian allen,Florida State,OLB,72.1,238,4.65,25.0,,,,,Y
2001,kendrell bell,Georgia,ILB,73.3,234,4.62,24.0,38.5,124.0,4.5,7.25,Y
2001,roylin bradley,Texas A&M,OLB,73.1,243,4.67,19.0,34.0,116.0,4.28,7.16,N
2001,quinton caver,Arkansas,ILB,75.9,227,4.66,23.0,37.5,118.0,4.25,7.66,Y
2001,patrick chukwurah,Wyoming,OLB,73.6,238,4.75,24.0,40.0,119.0,4.21,7.34,Y
2001,rick crowell,Colorado State,OLB,74.8,242,5.0,19.0,31.5,109.0,4.35,7.54,Y
2001,jason glenn,Texas A&M,OLB,72.6,236,4.93,14.0,36.0,115.0,4.31,7.16,Y
2001,morlon greenwood,Syracuse,OLB,72.4,237,4.61,21.0,33.5,112.0,4.08,7.62,Y
2001,edgerton hartwell,Western Illinois,ILB,73.0,250,4.86,18.0,36.5,114.0,4.56,7.64,Y
2001,sedrick hodge,North Carolina,OLB,75.8,244,4.48,21.0,32.0,120.0,4.09,,Y
2001,orlando huff,Frenso State (CA),OLB,74.4,245,4.7,16.0,,,,,Y
2001,alex lincoln,Auburn,ILB,72.1,251,4.79,22.0,35.0,111.0,,,Y
2001,jeremiah pharms,Washington,OLB,72.5,257,4.88,,32.5,106.0,4.53,7.37,Y
2001,carlos polk,Nebraska,ILB,74.1,251,4.72,,,,,,Y
2001,anthony sessions,Tennessee,OLB,71.8,228,4.78,19.0,,,,,N
2001,brandon spoon,North Carolina,ILB,74.4,245,4.73,33.0,35.5,110.0,4.15,7.3,Y
2001,markus steele,Southern California,OLB,74.9,232,4.62,,33.0,119.0,4.5,7.15,Y
2001,matt stewart,Vanderbilt,OLB,75.6,236,4.75,23.0,37.0,117.0,4.2,7.08,Y
2001,tj turner,Michigan State,ILB,74.6,273,4.75,,,,,,Y
2001,eric westmoreland,Tennessee,OLB,71.6,236,4.65,21.0,36.5,115.0,4.21,7.47,Y
2001,jamie winborn,Vanderbilt,ILB,71.0,229,4.63,,35.5,111.0,,,Y
2002,james allen,Oregon State,OLB,74.6,240,4.63,24.0,38.0,120.0,4.21,7.59,Y
2002,akin ayodele,Purdue,OLB,74.1,257,4.86,26.0,35.0,119.0,4.12,7.0,Y
2002,kevin bentley,Northwestern,OLB,72.4,243,4.72,23.0,39.0,113.0,3.83,6.71,Y
2002,rocky boiman,Notre Dame,OLB,75.8,242,4.61,17.0,35.0,118.0,4.05,6.86,Y
2002,courtland bullard,Ohio State,OLB,75.0,234,4.62,,36.5,120.0,4.28,6.99,Y
2002,jamie burrow,Nebraska,ILB,72.8,249,4.89,18.0,30.5,98.0,4.21,7.28,N
2002,rocky calmus,Oklahoma,OLB,75.1,243,4.69,16.0,,,,,Y
2002,joe cooper,Ohio State,OLB,72.4,233,4.94,17.0,32.0,108.0,4.46,7.47,N
2002,andra davis,Florida,ILB,72.9,244,4.77,20.0,31.5,106.0,,,Y
2002,justin ena,Brigham Young,ILB,75.0,247,4.71,20.0,34.0,112.0,4.11,6.76,N
2002,trev faulk,Louisiana State,ILB,74.6,241,4.84,,32.0,116.0,,,N
2002,levar fisher,North Carolina State,OLB,72.9,233,4.62,,31.0,108.0,,7.3,Y
2002,larry foote,Michigan,OLB,72.9,231,4.85,24.0,30.0,,4.41,7.18,Y
2002,scott fujita,California,OLB,77.5,248,4.63,20.0,42.0,122.0,4.21,7.09,Y
2002,napoleon harris,Northwestern,OLB,74.9,253,4.57,27.0,34.0,110.0,4.44,7.15,Y
2002,tyreo harrison,Notre Dame,ILB,74.0,238,4.88,,40.0,114.0,,7.24,Y
2002,ben leber,Kansas State,OLB,75.0,244,4.62,20.0,32.5,114.0,4.25,6.75,Y
2002,dd lewis,Texas,ILB,73.0,235,4.7,24.0,33.5,114.0,,,N
2002,quincy monk,North Carolina,ILB,75.4,250,4.8,26.0,33.5,112.0,4.38,7.46,Y
2002,brandon moore,Oklahoma,OLB,73.1,239,4.61,23.0,36.5,111.0,,,N
2002,jermaine petty,Arkansas,ILB,74.9,261,4.79,20.0,33.5,114.0,4.34,,N
2002,nick rogers,Georgia Tech,OLB,74.0,251,4.65,22.0,36.0,115.0,4.19,7.02,Y
2002,raonall smith,Washington State,OLB,74.1,244,4.56,26.0,42.0,121.0,4.11,7.1,Y
2002,dominique stevenson,Tennessee,OLB,72.3,231,4.6,23.0,32.5,107.0,,,Y
2002,jashon sykes,Colorado,OLB,74.9,236,4.81,23.0,34.5,115.0,4.34,7.25,N
2002,ben taylor,Virginia Tech,ILB,73.9,236,4.79,19.0,35.5,116.0,4.09,6.56,Y
2002,robert thomas,UCLA,OLB,72.0,229,4.53,21.0,34.0,114.0,4.1,7.21,Y
2002,josh thornhill,Michigan State,ILB,74.3,243,4.76,27.0,36.5,121.0,4.19,7.15,N
2002,david thornton,North Carolina,OLB,73.9,236,4.66,26.0,35.5,116.0,4.09,6.93,N
2002,will witherspoon,Georgia,OLB,73.5,231,4.63,25.0,38.0,120.0,4.21,7.09,Y
2003,khalid abdullah,Mars Hill (NC),OLB,74.1,227,4.63,26.0,36.5,126.0,4.17,7.13,Y
2003,boss bailey,Georgia,OLB,75.1,233,4.58,,42.0,135.0,,,Y
2003,nick barnett,Oregon State,OLB,73.6,236,4.69,32.0,34.5,123.0,4.07,6.97,Y
2003,solomon bates,Arizona State,ILB,73.4,243,4.88,19.0,30.0,112.0,4.32,7.22,Y
2003,lance briggs,Arizona,ILB,72.6,242,4.78,25.0,33.0,113.0,,,Y
2003,mark brown,Auburn,ILB,72.4,238,4.85,,37.5,121.0,4.17,7.35,N
2003,chris clemons,Georgia,OLB,75.0,236,4.64,18.0,35.0,116.0,4.58,7.47,N
2003,angelo crowell,Virginia,ILB,72.4,236,4.71,25.0,32.5,,4.26,7.07,Y
2003,lawrence flugence,Texas Tech,ILB,73.1,239,4.86,23.0,34.0,106.0,4.34,7.4,N
2003,tony gilbert,Georgia,ILB,71.9,251,4.86,19.0,27.5,109.0,,,Y
2003,mario haggan,Mississippi State,ILB,74.6,252,4.84,21.0,33.0,110.0,4.38,7.54,Y
2003,byron hardmon,Florida,ILB,73.0,232,4.78,17.0,32.5,115.0,4.36,7.55,N
2003,gerald hayes,Pittsburgh,ILB,72.9,238,4.75,,30.5,107.0,4.35,7.57,Y
2003,ej henderson,Maryland,ILB,72.9,245,4.8,20.0,,,,,Y
2003,victor hobson,Michigan,ILB,72.5,252,4.88,29.0,33.0,117.0,4.32,7.25,Y
2003,bradie james,Louisiana State,ILB,74.4,242,4.71,,32.5,113.0,4.52,7.53,Y
2003,jeremy loyd,Iowa State,OLB,73.6,235,4.66,17.0,34.0,114.0,4.12,6.89,N
2003,lamarcus mcdonald,Texas Christian,ILB,73.3,227,4.97,,31.0,110.0,4.44,7.59,N
2003,kawika mitchell,South Florida,ILB,73.0,253,4.69,25.0,37.0,117.0,4.24,7.32,Y
2003,mike nattiel,Florida,OLB,71.6,228,4.65,,30.0,106.0,4.38,7.49,N
2003,joe odom,Purdue,OLB,72.9,241,4.62,26.0,,,,,Y
2003,antwan peek,Cincinnati,OLB,74.6,246,4.67,21.0,37.0,125.0,4.33,7.06,Y
2003,terry pierce,Kansas State,ILB,73.4,251,4.7,28.0,27.5,,,,Y
2003,terrence robinson,Oklahoma State,ILB,72.4,240,4.97,19.0,33.5,116.0,4.33,7.6,N
