year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,allamerican,hasawards,hasbling,scrimyds,scrimplays,scrimypa,scrimtds,drafted
2005,jonas crafts,Texas-El Paso,TE,74.88,247,4.89,24,,,,,0,0,0,781,72,10.8,3,N
2005,tony curtis,Portland State (OR),TE,77.38,269,4.97,21,,115,,,0,0,0,768,58,13.2,1,N
2005,joel dreessen,Colorado State,TE,76.25,260,4.77,22,36,111,4.01,7.09,0,0,0,1297,124,10.5,10,Y
2005,kelly griffeth,Fort Hays State (KS),TE,77.25,284,4.93,21,28,101,4.27,7.25,0,0,0,,,,,N
2005,alex holmes,Southern California,TE,73.75,265,4.92,18,,,,,0,0,0,783,82,9.5,4,N
2005,tony jackson,Iowa,TE,74,266,4.76,23,33,112,4.48,7.5,0,0,0,134,14,9.6,2,Y
2005,matt jones,Arkansas,TE,78.3,242,4.38,20,39.5,123,4.2,,0,0,0,2593,386,6.7,24,Y
2005,dave kashetta,Boston College,TE,75.38,247,4.9,17,35.5,113,4.34,7.34,0,0,0,,,,,N
2005,bo scaife,Texas,TE,74.63,249,4.79,24,32.5,110,4.12,7.21,0,0,0,997,75,13.3,6,Y
2005,alex smith,Stanford,TE,76.1,258,4.75,28,,,,,0,0,0,1291,107,12.1,8,Y
2005,alex smith,Stanford,TE,76.1,258,4.75,28,,,,,0,0,0,1291,107,12.1,8,Y
2006,owen daniels,Wisconsin,TE,75.38,253,4.66,23,34.5,114,4.1,6.87,0,0,0,870,66,13.2,8,Y
2006,charles davis,Purdue,TE,77.5,263,4.94,27,31.5,108,4.37,7.53,0,0,0,865,78,11.1,4,Y
2006,vernon davis,Maryland,TE,75.25,254,4.39,33,42,128,4.17,7,0,0,0,1376,85,16.2,9,Y
2006,tim day,Oregon,TE,75.25,256,4.76,24,35,109,4.2,7.03,0,0,0,1008,86,11.7,13,N
2006,anthony fasano,Notre Dame,TE,76.13,259,4.86,19,33.5,112,4.34,6.94,0,0,0,1112,92,12.1,8,Y
2006,daniel fells,UC-Davis,TE,75.38,259,4.94,19,29.5,108,4.46,7.27,0,0,0,,,,,N
2006,matt henshaw,Florida State,TE,76.38,248,4.76,16,29,111,4.44,7.44,0,0,0,314,31,10.1,2,N
2006,jeff king,Virginia Tech,TE,77.13,245,4.88,21,32.5,109,4.09,6.99,0,0,0,724,58,12.5,12,Y
2006,joe klopfenstein,Colorado,TE,77.75,255,4.65,27,36,112,4.21,7.39,0,0,0,1076,86,12.5,13,Y
2006,marcedes lewis,UCLA,TE,78.38,261,4.84,23,37,118,4.82,7.24,1,1,1,1571,126,12.5,21,Y
2006,jason pociask,Wisconsin,TE,75,266,4.88,23,32.5,115,4.3,7.31,0,0,0,144,12,12,0,Y
